Compartment,TotalArea,AreaWaterPortion,AreaUplandPortion,AreaMarshPortion,MarshEdgeLength,Runoff_method,bed_elev,bed_depth,bed_bulk_density,percentForETcalc,sand_adaptionCeoff,Runoff_coeff,RainGage,WindGage,ETGage,CurrentsCoeff_ka,bedFricCoeff_cf,NonSandExp_sedn,NonSandCoeff_sedcalib,SandCoeff_alphased,Marsh_Flow_roughness_Kka,Minimum_Marsh_Flow_Depth_Kkdepth,MarshEdgeErosionRate_myr,offshore_TSS_-9999_if_not_used_CSSos,marsh_elev_mean,marsh_elev_stdv,soil_moisture_depth_Esho,depo_on_off,marh_elev_adjust,!,! Notes
94,4097476,0.261565,0.00285,0.735584,1008000,2,-0.173045,0.05,0.835,10,0.25,40,134,264,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.345691607,-9999,0.293308,0.211352119,0.2,1,-0.211352119,!,2D compartment
95,28355784,0.214676,0.015488,0.769836,5133600,2,-0.472316,0.05,0.835,10,0.25,40,95,264,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.162992385,-9999,0.239808,0.30430932,0.2,1,-0.30430932,!,2D tributary boundary (Qmult > 0)
96,8657158,0.292931,0.00052,0.706549,2164500,2,-0.214477,0.05,0.835,10,0.25,40,134,264,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.314267881,-9999,0.248608,0.2527667,0.2,1,-0.2527667,!,2D compartment
97,14216522,0.254813,0.001836,0.743351,2670300,2,-0.5,0.05,0.835,10,0.25,40,89,264,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.190322273,-9999,0.25439,0.19109069,0.2,1,-0.19109069,!,2D compartment
98,24929111,0.266953,0.009275,0.723772,3717000,2,-0.194798,0.05,0.835,10,0.25,40,89,264,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.11131878,-9999,0.312184,0.266222015,0.2,1,-0.266222015,!,2D compartment
99,9901744,0.170761,0.009825,0.819414,2006100,2,-0.220808,0.05,0.835,10,0.25,40,72,264,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.183082422,-9999,0.283428,0.25747693,0.2,1,-0.25747693,!,2D compartment
100,38848532,0.507752,0.026512,0.465737,5598000,2,-0.235873,0.05,0.835,10,0.25,40,64,264,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.156217478,-9999,0.320746,0.337881845,0.2,1,-0.337881845,!,2D compartment
101,22435927,0.953097,0.000281,0.046622,582300,2,-1.500244,0.05,0.835,10,0.25,40,89,264,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.113744217,-9999,0.17364,0.300743226,0.2,1,-0.300743226,!,2D compartment
102,19496493,0.522897,0.000785,0.476318,4284000,2,-0.178838,0.05,0.835,10,0.25,40,118,264,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.275635501,-9999,0.239874,0.205585598,0.2,1,-0.205585598,!,2D compartment
103,7185605,0.423453,0.000501,0.576046,1793700,2,-0.191491,0.05,0.835,10,0.25,40,118,264,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.285182469,-9999,0.256731,0.229116658,0.2,1,-0.229116658,!,2D compartment
104,23376861,0.401278,0.000693,0.598029,4737600,2,-0.1858,0.05,0.835,10,0.25,40,134,264,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.206552218,-9999,0.334558,0.261883524,0.2,1,-0.261883524,!,2D compartment
105,37398853,0.314953,0.021,0.664083,7754400,2,-0.228391,0.05,0.835,10,0.25,40,171,263,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.139997395,-9999,0.339029,0.299611827,0.2,1,-0.299611827,!,2D compartment
106,5691130,0.530761,0.000316,0.468923,1327500,2,-0.365424,0.05,0.835,10,0.25,40,166,263,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.197524482,-9999,0.438921,0.298670246,0.2,1,-0.298670246,!,2D compartment
107,12129548,0.523651,0.000222,0.476127,3660300,2,-0.188679,0.05,0.835,10,0.25,40,166,263,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.162491419,-9999,0.320835,0.251690678,0.2,1,-0.251690678,!,2D compartment
108,32964739,0.593701,0.001501,0.404798,8299800,2,-0.5,0.05,0.835,10,0.25,40,107,263,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.189593788,-9999,0.272809,0.245366642,0.2,1,-0.245366642,!,2D compartment
109,42820880,0.594679,0.003194,0.402127,9540000,2,-0.336935,0.05,0.835,10,0.25,40,107,264,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.222441268,-9999,0.253455,0.284001488,0.2,1,-0.284001488,!,2D compartment
110,39908302,0.595029,0.000293,0.404678,9480600,2,-0.5,0.05,0.835,10,0.25,40,71,278,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.250775823,-9999,0.255407,0.212179214,0.2,1,-0.212179214,!,2D compartment
111,21881077,0.75073,4.10E-05,0.249229,4019400,2,-0.449445,0.05,0.835,10,0.25,40,91,277,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.195920964,-9999,0.285663,0.233568416,0.2,1,-0.233568416,!,2D compartment
112,16263026,0.552739,5.50E-05,0.447205,4176000,2,-0.320549,0.05,0.835,10,0.25,40,91,277,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.242942342,-9999,0.384517,0.251510412,0.2,1,-0.251510412,!,2D compartment
113,25029325,0.881708,0.000288,0.118004,2677500,2,-0.744384,0.05,0.835,10,0.25,40,116,277,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.200482723,-9999,0.200744,0.242435197,0.2,1,-0.242435197,!,2D compartment
114,17430261,0.774792,0.000103,0.225105,2756700,2,-0.658111,0.05,0.835,10,0.25,40,107,263,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.220966684,-9999,0.237514,0.18709895,0.2,1,-0.18709895,!,2D compartment
115,49112844,0.724702,0.000147,0.275151,10555200,2,-0.379656,0.05,0.835,10,0.25,40,116,277,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.215837059,-9999,0.233574,0.222515418,0.2,1,-0.222515418,!,2D compartment
116,18207081,0.539747,0.000148,0.460105,3809700,2,-0.411454,0.05,0.835,10,0.25,40,185,263,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.183922488,-9999,0.357971,0.244455867,0.2,1,-0.244455867,!,2D compartment
117,16059474,0.60565,0.000785,0.393566,4031100,2,-0.5,0.05,0.835,10,0.25,40,155,263,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.210145672,-9999,0.282452,0.234500833,0.2,1,-0.234500833,!,2D compartment
118,80393912,0.43557,0.000123,0.564307,15164100,2,-0.487405,0.05,0.835,10,0.25,40,138,277,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.222869397,-9999,0.472233,0.254571397,0.2,1,-0.254571397,!,2D compartment
119,6167181,0.17465,0.0901,0.735251,1505700,2,-0.085254,0.05,0.835,10,0.25,40,185,263,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.141340258,-9999,0.423393,0.322404326,0.2,1,-0.322404326,!,2D compartment
120,5376750,0.176225,0.159171,0.664605,1179900,2,-0.088259,0.05,0.835,10,0.25,40,165,263,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.101678249,-9999,0.399199,0.356240276,0.2,1,-0.356240276,!,2D compartment
121,17717893,0.032812,0.564,0.402783,509400,2,-0.00385,0.05,0.835,10,0.25,40,178,263,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.005711254,-9999,0.135761,0.307563758,0.2,1,-0.307563758,!,2D compartment
122,29456786,0.479293,0.002688,0.51802,7910100,2,-0.186288,0.05,0.835,10,0.25,40,64,278,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.210599641,-9999,0.31672,0.22151936,0.2,1,-0.22151936,!,2D compartment
123,30636778,0.527162,0.005053,0.467785,7920900,2,-0.178432,0.05,0.835,10,0.25,40,81,278,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.243363515,-9999,0.330591,0.268056367,0.2,1,-0.268056367,!,2D compartment
124,115237280,0.513881,0.000586,0.485534,18270000,2,-0.59408,0.05,0.835,10,0.25,40,57,278,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.298157623,-9999,0.33763,0.217192017,0.2,1,-0.217192017,!,2D compartment
125,91258680,0.56295,1.00E-05,0.43704,15713100,2,-0.686854,0.05,0.835,10,0.25,40,67,277,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.293389353,-9999,0.421728,0.215283594,0.2,1,-0.215283594,!,2D compartment
126,16106988,0.751272,0,0.248728,2508300,2,-0.700613,0.05,0.835,10,0.25,40,93,277,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.339871822,-9999,0.454573,0.265696344,0.2,1,-0.265696344,!,2D compartment
127,61819415,0.946187,2.90E-05,0.053784,1743300,2,-1.101841,0.05,0.835,10,0.25,40,111,277,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.220936503,-9999,0.410703,0.238407467,0.2,1,-0.238407467,!,2D compartment
128,23318215,0.386296,0.00027,0.613434,3430800,2,-0.63431,0.05,0.835,10,0.25,40,122,277,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.19547413,-9999,0.545489,0.273455577,0.2,1,-0.273455577,!,1D lateral connection
129,6014430,0.148054,0.011976,0.83997,980100,2,-0.411026,0.05,0.835,10,0.25,40,162,276,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.190414444,-9999,1.016744,0.493395053,0.2,1,-0.493395053,!,1D lateral connection
130,27852553,0.190495,0.002068,0.807438,3390300,2,-0.486239,0.05,0.835,10,0.25,40,139,276,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.143058904,-9999,0.730861,0.430595399,0.2,1,-0.430595399,!,2D compartment
131,30534221,0.404226,0.001032,0.594742,3841200,2,-0.769393,0.05,0.835,10,0.25,40,109,290,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.299472188,-9999,0.548659,0.299166037,0.2,1,-0.299166037,!,2D compartment
132,9374008,0.027822,0.066,0.906225,792900,2,-1,0.05,0.835,10,0.25,40,135,290,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.078540962,-9999,0.58063,0.433504895,0.2,1,-0.433504895,!,2D compartment
133,50224952,0.629946,0.00032,0.369733,4896900,2,-1.045456,0.05,0.835,10,0.25,40,135,290,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.268607349,-9999,0.432798,0.308409434,0.2,1,-0.308409434,!,2D compartment
134,27123230,0.357278,0.004048,0.638674,5212800,2,-0.77992,0.05,0.835,10,0.25,40,110,290,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.379554995,-9999,0.442686,0.364951945,0.2,1,-0.364951945,!,1D lateral connection
135,22941994,0.671832,0.002197,0.326,4058100,2,-0.937122,0.05,0.835,10,0.25,40,85,290,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.401332989,-9999,0.457262,0.551806613,0.2,1,-0.551806613,!,1D lateral connection
136,69962475,0.722899,0.000386,0.276715,9145800,2,-1.060372,0.05,0.835,10,0.25,40,77,303,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.283180445,-9999,0.389015,0.556066638,0.2,1,-0.556066638,!,1D lateral connection
137,232683888,0.695691,0.001203,0.303106,22022100,2,-0.974235,0.05,0.835,10,0.25,40,55,291,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.322784755,-9999,0.548282,0.448641067,0.2,1,-0.448641067,!,2D compartment
138,130236599,0.999357,7.00E-06,0.000636,77400,2,-2.179384,0.05,0.835,10,0.25,40,52,291,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.007178529,-9999,0.057374,1.60301951,0.2,1,-1.60301951,!,2D compartment
139,213384224,0.998507,8.00E-06,0.001485,288900,2,-1.489679,0.05,0.835,10,0.25,40,68,291,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.022660819,-9999,0.394727,0.365972575,0.2,1,-0.365972575,!,2D compartment
140,108935659,0.960824,0,0.039176,2370600,2,-1.218275,0.05,0.835,10,0.25,40,94,290,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.120149489,-9999,0.389519,0.217920149,0.2,1,-0.217920149,!,2D compartment
141,168742787,0.999973,0,2.70E-05,1800,2,-2.273353,0.05,0.835,10,0.25,40,84,290,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.015596502,-9999,0.192923,0.008184075,0.2,1,-0.008184075,!,2D compartment
142,106217839,0.998602,0,0.001398,99900,2,-4.676433,0.05,0.835,10,0.25,40,69,303,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.011368087,-9999,0.192923,4.180810975,0.2,1,-4.180810975,!,2D compartment
143,334704740,1,0,0,0,2,-3.562806,0,0.835,10,0.25,40,44,304,1,0.023,0.001,0.5,0,0,0.05,0.05,6.73E-05,-9999,0.466309089,0.514168987,0.2,0,-0.514168987,!,2D compartment
144,340475371,0.995136,0.000841,0.004023,548100,2,-4.826648,0,0.835,10,0.25,40,40,315,1,0.023,0.001,0.5,0,0,0.05,0.05,0.003058353,-9999,0.339155,0.678430808,0.2,0,-0.678430808,!,2D compartment
145,462000556,0.98403,0.004734,0.011236,1971900,2,-4.115278,0,0.835,10,0.25,40,7,329,1,0.023,0.001,0.5,0,0,0.05,0.05,0,-9999,0.782145,0.514168987,0.2,0,-0.514168987,!,2D compartment
146,285606482,0.999398,2.20E-05,0.00058,155700,2,-10.756948,0,0.835,10,0.25,40,8,337,1,0.023,0.001,0.5,0,0,0.05,0.05,0,-9999,0.686794,0.514168987,0.2,0,-0.514168987,!,2D compartment
147,215543328,1,0,0,0,2,-12.006655,0.05,0.835,10,0.25,40,8,336,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0,-9999,0.466309089,0.514168987,0.2,1,-0.514168987,!,2D compartment
148,232985124,1,0,0,0,2,-9.261513,0.05,0.835,10,0.25,40,15,325,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0,-9999,0.466309089,0.514168987,0.2,1,-0.514168987,!,2D compartment
149,185643845,1,0,0,0,2,-8.123112,0.05,0.835,10,0.25,40,27,325,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0,-9999,0.466309089,0.514168987,0.2,1,-0.514168987,!,2D compartment
150,173787391,0.999959,0,4.10E-05,0,2,-5.672138,0.05,0.835,10,0.25,40,50,314,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0,-9999,0.192923,0.514168987,0.2,1,-0.514168987,!,2D compartment
151,61686248,0.996601,2.90E-05,0.00337,98100,2,-7.235587,0.05,0.835,10,0.25,40,65,303,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.017673477,-9999,0.192923,1.331981906,0.2,1,-1.331981906,!,2D compartment
152,670018,0.685452,0.007864,0.306684,200700,2,-7.86,0.05,0.835,10,0.25,40,215,211,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.257843618,-9999,0.192923,2.438183542,0.2,1,-2.438183542,!,2D compartment
153,1689233,0.903672,0.001064,0.095263,174600,2,-1.700426,0.05,0.835,10,0.25,40,97,225,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.264555813,-9999,0.192923,1.093600357,0.2,1,-1.093600357,!,channel or bayou modeled in 2D
154,827354,0.700294,0.002938,0.296768,239400,2,-0.361095,0.05,0.835,10,0.25,40,97,225,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.079300961,-9999,0.192923,0.341537674,0.2,1,-0.341537674,!,channel or bayou modeled in 2D
155,971125,0.356268,0.01131,0.632422,452700,2,-2.48,0.05,0.835,10,0.25,40,56,239,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.039906616,-9999,0.145805,2.375086164,0.2,1,-2.375086164,!,channel or bayou modeled in 2D
156,1002307,0.672614,0.053524,0.273863,179100,2,-4.83,0.05,0.835,10,0.25,40,48,239,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.226233533,-9999,0.132597,2.748734198,0.2,1,-2.748734198,!,2D compartment
157,1417469,0.672392,0.015267,0.312341,284400,2,-0.168983,0.05,0.835,10,0.25,40,23,281,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0,-9999,1.820116,1.594147392,0.2,1,-1.594147392,!,channel or bayou modeled in 2D
158,525325,0.77551,0,0.22449,109800,2,-0.413629,0.05,0.835,10,0.25,40,25,280,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.065184088,-9999,0.800665,0.768646701,0.2,1,-0.768646701,!,channel or bayou modeled in 2D
159,1365275,0.74096,0.004602,0.254438,346500,2,-2.074467,0.05,0.835,10,0.25,40,30,280,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.171173095,-9999,0.192923,0.342508389,0.2,1,-0.342508389,!,channel or bayou modeled in 2D
160,1454562,1,0,0,595800,2,-1,0.05,0.835,10,0.25,40,23,281,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.094160167,-9999,1.088484,1.139625846,0.2,1,-1.139625846,!,channel or bayou modeled in 2D
161,1566922,0.82903,0.001721,0.169248,273600,2,-1.453562,0.05,0.835,10,0.25,40,25,280,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.17548089,-9999,0.327657,0.731541912,0.2,1,-0.731541912,!,channel or bayou modeled in 2D
162,4049660,0.91117,0.002665,0.086165,342900,2,-3.331038,0.05,0.835,10,0.25,40,26,294,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.278192438,-9999,0.192923,1.079116962,0.2,1,-1.079116962,!,channel or bayou modeled in 2D
163,19651044,0.332098,0.020227,0.647675,2869200,2,-5.297706,0.05,0.835,10,0.25,40,46,265,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.372766201,-9999,0.472155,0.897339957,0.2,1,-0.897339957,!,2D compartment
164,243581,0.223881,0.343284,0.432836,100800,2,-0.303333,0.05,0.835,10,0.25,40,66,264,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.005252917,-9999,0.951911,0.82194566,0.2,1,-0.82194566,!,channel or bayou modeled in 2D
165,649674,0.683264,0.004149,0.312586,200700,2,-1.286942,0.05,0.835,10,0.25,40,66,265,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.186800738,-9999,0.192923,0.509587427,0.2,1,-0.509587427,!,channel or bayou modeled in 2D
166,5680432,0.02991453,0.000158278,0.969927192,5295600,2,-0.191662,0.05,0.835,10,0.25,40,36,266,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.126028207,-9999,0.806568,0.208038438,0.2,1,-0.208038438,!,2D compartment
167,1408583,0.32718,0.13049,0.54233,437400,2,-0.5,0.05,0.835,10,0.25,40,53,278,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.220771462,-9999,0.755378,0.692205835,0.2,1,-0.692205835,!,2D compartment
168,19151136,0.262034599,0.037890184,0.700075216,5295600,2,-2,0.05,0.835,10,0.25,40,36,266,1,0.023,0.001,0.5,1.00E-09,0.008,0.05,0.05,0.193979772,-9999,0.806568,0.2175581,0.2,1,-0.2175581,!,2D compartment
